A42	STATUS	PROGRESS	YEAR	MONTH	START DATE	END DATE	DURATION (DAYS)	ORGANIZER	STATE	VENUE	BRAND	EVENT TYPE	CONTRACTOR	AGREEMENT / QUOTATION APPROVAL	FLOORPLAN	BOOTH NO	SIZE (SQM)	SEND FLOORPLAN TO DESIGNER 	3D CHECKED BY MGT	3D APPROVED BY PETER	3D UPLOADED IN NOTION	WEEKEND ACTIVITY(THEME)	LICENSE(FROM MAJLIS)	WORK / LOADING BAY PERMIT	DECO / COFFE TABLE	SEC DEPO REFUND	TOTAL SALES (RM)	RENTAL (RM)	LINK NOTION 	GCAL ID
2026-12-HOMELOVE-KL-MIDVALLEY-ERGOTEX	CONFIRMED		2026	DECEMBER	18/12/2026	20/12/2026	3	HOMELOVE	KL	MID VALLEY	ERGOTEX	EXHIBITION	DREAMART	False	False			False	False		False				FALSE					sem6909a0ajaal4fbum8jgdcfs@google.com
2026-12-MEGAHOME-IPOH-STADIUMINDERAMULIA-AKEMI	CONFIRMED		2026	DECEMBER	18/12/2026	20/12/2026	3	MEGAHOME	IPOH	STADIUM INDERA MULIA	AKEMI	EXHIBITION	DREAMART	False	False			False	False		False				FALSE					mke1jt3tdlnk7p2k89dumuds9o@google.com
2026-12-MLE-SEREMBAN-DATARANCENTRIO-AKEMI	CONFIRMED		2026	DECEMBER	24/12/2026	27/12/2026	4	MLE	SEREMBAN	DATARAN CENTRIO	AKEMI	EXHIBITION	DREAMART	False	False			False	False		False				FALSE					ek72edspt8g5j7ked5a3iba4b0@google.com
2026-12-MLE-SEREMBAN-DATARANCENTRIO-ZANOTTI	CONFIRMED		2026	DECEMBER	24/12/2026	27/12/2026	4	MLE	SEREMBAN	DATARAN CENTRIO	ZANOTTI	EXHIBITION	DREAMART	False	False			False	False		False				FALSE					dun640e1c7jgcb5p6d53rh7rgc@google.com
	CONFIRMED		2026	DECEMBER	25/12/2026	27/12/2026	3	HOMELOVE	PUTRAJAYA	IOIGECC	AKEMI	EXHIBITION	DREAMART	False	False	011-013, 018-020 (6 BOOTH)	54	False	False		False				FALSE					3r86v976pqu1elgmcnf0qfndak@google.com
2026-12-HOMELOVE-PENANG-SETIASPICECONVENTIONCENTRE-DUNLOPILLO	CONFIRMED		2026	DECEMBER	25/12/2026	27/12/2026	3	HOMELOVE	PENANG	SETIA SPICE CONVENTION CENTRE	DUNLOPILLO	EXHIBITION	DREAMART	False	False			False	False		False				FALSE					90jjfk0gbt67fqh1dh05j5q4uk@google.com
	CONFIRMED		2026	DECEMBER	25/12/2026	27/12/2026	3	HOMELOVE	PENANG	SETIA SPICE CONVENTION CENTRE	AKEMI	EXHIBITION	DREAMART	False	False	1129-1132, 1139-1142 (8 BOOTH)		False	False		False				FALSE			15200		6da0jek1utono8e10nkr25c5tc@google.com
2026-12-MEGAHOME-JOHOR-MVECSOUTHKEY-	PENDING PARTICIPATING		2026	DECEMBER	25/12/2026	27/12/2026	3	MEGAHOME	JOHOR	MVEC SOUTHKEY				False	False			False	False		False									7811018uam114d1uhnd0aqh95o@google.com
2026-12-MLE-MELAKA-MITC-AKEMI	CONFIRMED		2026	DECEMBER	31/12/2026	03/01/2027	4	MLE	MELAKA	MITC	AKEMI	EXHIBITION	DREAMART	False	False			False	False		False									k9ldhn4iguo26b507ub9r498sk@google.com
2026-01-MEGAHOME-JOHOR-MVECSOUTHKEY-	PENDING PARTICIPATING		2026	JANUARY	01/01/2026	04/01/2026	4	MEGAHOME	JOHOR	MVEC SOUTHKEY				False	False			False	False		False									t2qkldspvmgtmmvtqpatv9ms08@google.com
	CONFIRMED		2026	MAY	01/05/2026	03/05/2026	3	HOMELOVE	PENANG	SETIA SPICE CONVENTION CENTRE	AKEMI	EXHIBITION	DREAMART	False	False	1129-1132, 1139-1142 (8 BOOTH)		False	False		False				FALSE			15200		6da0jek1utono8e10nkr25c5tc@google.com
2026-07-REX-KL-PAVILIONBUKITJALIL-ZANOTTI	CONFIRMED		2026	JULY	03/07/2026	05/07/2026	3	REX	KL	PAVILION BUKIT JALIL	ZANOTTI	EXHIBITION	DREAMART	False	False			False	False		False				FALSE					b7v0cslm5ppd0o0ulhio50uaik@google.com
2026-07-REX-KL-PAVILIONBUKITJALIL-ERGOTEX	CONFIRMED		2026	JULY	03/07/2026	05/07/2026	3	REX	KL	PAVILION BUKIT JALIL	ERGOTEX	EXHIBITION	DREAMART	False	False			False	False		False				FALSE					4at90vs2g4frmjcahvn4l088d0@google.com
	PENDING PARTICIPATING		2026	JULY	09/07/2026	12/07/2026	4	HOMELOVE	KUANTAN	SULTAN AHMAD SHAH CONVENTION CENTRE	AKEMI	EXHIBITION	DREAMART	False	False			False	False		False									c3mbm5sg6qveoor2vmu5pk2a10@google.com
2026-07-BIGHOME-KL-KLCCCONVENTIONCENTRE-AKEMI	CONFIRMED		2026	JULY	09/07/2026	12/07/2026	4	BIGHOME	KL	KLCC CONVENTION CENTRE	AKEMI	EXHIBITION	DREAMART	False	False			False	False		False				FALSE					h8ihcou43hpbavn35eh4qafd7c@google.com
2026-07-MYHOME-PENANG-PWCC-AKEMI	CONFIRMED		2026	JULY	09/07/2026	12/07/2026	4	MYHOME	PENANG	PWCC	AKEMI	EXHIBITION	DREAMART	False	False			False	False		False				FALSE					gd7th1hebqoqjin57hkmapdoms@google.com
2026-07-MYHOME-PENANG-PWCC-ZANOTTI	CONFIRMED		2026	JULY	09/07/2026	12/07/2026	4	MYHOME	PENANG	PWCC	ZANOTTI	EXHIBITION	DREAMART	False	False			False	False		False				FALSE					2at63ssbvgcl80jvnr06ho64so@google.com
2026-07-MYHOME-PENANG-PWCC-DUNLOPILLO	CONFIRMED		2026	JULY	09/07/2026	12/07/2026	4	MYHOME	PENANG	PWCC	DUNLOPILLO	EXHIBITION	DREAMART	False	False			False	False		False				FALSE					0u8876out66pn0unv6ds558194@google.com
2026-07-MYHOME-PENANG-PWCC-ERGOTEX	CONFIRMED		2026	JULY	09/07/2026	12/07/2026	4	MYHOME	PENANG	PWCC	ERGOTEX	EXHIBITION	DREAMART	False	False			False	False		False				FALSE					jdi4s56ck62bc4fm33dh0jecdc@google.com
2026-07-MEGAHOME-SABAH-SICC-AKEMI	CONFIRMED		2026	JULY	24/07/2026	26/07/2026	3	MEGAHOME	SABAH	SICC	AKEMI	EXHIBITION	AKIL KAYA	False	False			False	False		False				FALSE					vq4s1tlhu7due20h8onhqsjjjs@google.com
2026-07-HOMELOVE-KL-IOIGECC-AKEMI	CONFIRMED		2026	JULY	24/07/2026	26/07/2026	3	HOMELOVE	KL	IOIGECC	AKEMI	EXHIBITION	DREAMART	False	False	011-013, 018-020 (6 BOOTH)	54	False	False		False				FALSE					73muu03smhajai6ba7g7u397gs@google.com
2026-07-MODERN HOME-KL-MIDVALLEY-AKEMI	CONFIRMED		2026	JULY	24/07/2026	26/07/2026	3	MODERN HOME	KL	MID VALLEY	AKEMI	EXHIBITION	DREAMART	False	False			False	False		False				FALSE					nqspi7cdmed9ig7g5uun9gsejk@google.com
2026-07-MYHOME-KL-SPCC-AKEMI	CONFIRMED		2026	JULY	31/07/2026	02/08/2026	3	MYHOME	KL	SPCC	AKEMI	EXHIBITION	DREAMART	False	False			False	False		False				FALSE					fdel1c6l10g0pe7696n582n3mg@google.com
2026-07-MYHOME-KL-SPCC-ZANOTTI	CONFIRMED		2026	JULY	31/07/2026	02/08/2026	3	MYHOME	KL	SPCC	ZANOTTI	EXHIBITION	DREAMART	False	False			False	False		False				FALSE					jj4bhk4j50ttiatjr4p2v05cjk@google.com
	PENDING PARTICIPATING		2026	JUNE	05/06/2026	07/06/2026	3	BIGHOME	KL	MIDVALLEY				False	False			False	False		False									a0kjcjigrc49teij0bn0ef5lc4@google.com
	CONFIRMED		2026	JUNE	12/06/2026	14/06/2026	3	MALL MGT	PENANG	GURNEY PARAGON	AKEMI	SOLO	DREAMART	False	False	ATRIUM B & C LEVEL 1 (2300SQFT)		False	False		False									s0djqbfoeeom0ja5peguf8o284@google.com
	CONFIRMED		2026	JUNE	18/06/2026	21/06/2026	4	BIGHOME		STADIUM BUKIT JALIL	ZANOTTI	EXHIBITION	DREAMART	False	False			False	False		False									
	CONFIRMED		2026	JUNE	25/06/2026	28/06/2026	4	HOMELOVE	SARAWAK	BCCK KUCHING	AKEMI	EXHIBITION	DREAMART	False	False			False	False		False									27tiflpbfo5v9v1snm57qlptoo@google.com
2026-05-HOMELOVE-PENANG-SETIASPICECONVENTIONCENTRE-DUNLOPILLO	CONFIRMED		2026	MAY	01/05/2026	03/05/2026	3	HOMELOVE	PENANG	SETIA SPICE CONVENTION CENTRE	DUNLOPILLO	EXHIBITION	DREAMART	False	False	A01-A04 (4 BOOTH)		False	False		False				FALSE			15200		6da0jek1utono8e10nkr25c5tc@google.com
2026-05-MEGAHOME-SABAH-SICC-AKEMI	CONFIRMED		2026	MAY	01/05/2026	03/05/2026	3	MEGAHOME	SABAH	SICC	AKEMI	EXHIBITION	AKIL KAYA	False	False			False	False		False							32000		75oqtjqb99jrp507f2s607l00o@google.com
	CONFIRMED		2026	MAY	05/05/2026	17/05/2026	13	KAI HAO (KL CHEN)	KL	AEON CHERAS SELATAN	AKEMI	SOLO	DREAMART	False	False	1ST FLOOR 22' X 26'		False	False		False									
	CONFIRMED		2026	MAY	05/05/2026	10/05/2026	6	KAI HAO (KL CHEN)	KL	AEON BIG PUCHONG	AKEMI	SOLO	DREAMART	False	False	1100SQFT		False	False		False									
	CONFIRMED		2026	MAY	07/05/2026	17/05/2026	11	MALL MGT	KUANTAN	EAST COAST MALL	AKEMI	SOLO	DREAMART	True	False	Z3 1000SQFT		False	False		False									
2026-05-HOMELOVE-KL-MIDVALLEY-AKEMI	CONFIRMED		2026	MAY	08/05/2026	10/05/2026	3	HOMELOVE	KL	MID VALLEY	AKEMI	EXHIBITION	DREAMART	False	False			False	False		False				FALSE			32000		65igvaas96g63hccoco0g4i3g0@google.com
2026-05-MLE-SARAWAK-MCCCKUCHING-AKEMI	CONFIRMED		2026	MAY	14/05/2026	17/05/2026	4	MLE	SARAWAK	MCCC KUCHING	AKEMI	EXHIBITION	YEN CREATIVE	True	True	A4 & A10		False	False		False				FALSE			37600		lvkl48du7maluu1rfsdocchnl8@google.com
2026-05-MLE-SARAWAK-MCCCKUCHING-ERGOTEX	CONFIRMED		2026	MAY	14/05/2026	17/05/2026	4	MLE	SARAWAK	MCCC KUCHING	ERGOTEX	EXHIBITION	JH CONTRACTOR	False	False	A26		False	False		False				FALSE			30000		2h0pdn2k3jhs4f9c0r3nju74p8@google.com
2026-05-REX-KL-PAVILIONBUKITJALIL-AKEMI	CONFIRMED		2026	MAY	15/05/2026	17/05/2026	3	REX	KL	PAVILION BUKIT JALIL	AKEMI	EXHIBITION	DREAMART	False	False			False	False		False							24000		6i5jilaho44sg8aikt7oodfnmk@google.com
2026-05-REX-KL-PAVILIONBUKITJALIL-ZANOTTI	CONFIRMED		2026	MAY	15/05/2026	17/05/2026	3	REX	KL	PAVILION BUKIT JALIL	ZANOTTI	EXHIBITION	DREAMART	False	False			False	False		False							17000		g5va5e02j15ta04loivn3g0k8o@google.com
2026-05-REX-KL-PAVILIONBUKITJALIL-ERGOTEX	CONFIRMED		2026	MAY	15/05/2026	17/05/2026	3	REX	KL	PAVILION BUKIT JALIL	ERGOTEX	EXHIBITION	DREAMART	False	False			False	False		False							23000		93qqe591grvlgnremf2kdpcook@google.com
	CONFIRMED		2026	MAY	21/05/2026	31/05/2026	11	MR OOI (TS MOON)	KEDAH	AMAN CENTRAL	AKEMI	SOLO	DREAMART	False	False	CENTRE COURT		False	False		False									
2026-05-HOMELOVE-KL-SPCC-AKEMI	CONFIRMED		2026	MAY	22/05/2026	24/05/2026	3	HOMELOVE	KL	SPCC	AKEMI	EXHIBITION	DREAMART	True	True	314-316		True	True	DONE	True				FALSE					pb3p7mek2j8dspsisl6kng8q1o@google.com
2026-05-BIGHOME-KL-SCCCSHAHALAM-AKEMI	CONFIRMED		2026	MAY	22/05/2026	24/05/2026	3	BIGHOME	KL	SCCC SHAH ALAM	AKEMI	EXHIBITION	DREAMART	False	False			False	False		False				FALSE			22800		d1pcu8u57c8n1mgas1pl1cb9lc@google.com
2026-05-BIGHOME-KL-SCCCSHAHALAM-ZANOTTI	CONFIRMED		2026	MAY	22/05/2026	24/05/2026	3	BIGHOME	KL	SCCC SHAH ALAM	ZANOTTI	EXHIBITION	DREAMART	False	False			False	False		False				FALSE			34000		i4b9rjjjvepg8291q1qbbn8gvk@google.com
2026-05-MLE-JOHOR-MVECSOUTHKEY-AKEMI	CONFIRMED		2026	MAY	22/05/2026	24/05/2026	3	MLE	JOHOR	MVEC SOUTHKEY	AKEMI	EXHIBITION	DREAMART	False	False			False	False		False							32000		gdr75eed09r7gt3ffgbukc8ngg@google.com
2026-05-MLE-JOHOR-MVECSOUTHKEY-AKEMI	CONFIRMED		2026	MAY	22/05/2026	24/05/2026	3	MLE	JOHOR	MVEC SOUTHKEY	ZANOTTI	EXHIBITION	DREAMART	False	False			False	False		False							32000		gdr75eed09r7gt3ffgbukc8ngg@google.com
2026-05-MYHOME-KL-THESTARLINGMALL-AKEMI	CONFIRMED		2026	MAY	29/05/2026	01/06/2026	4	MYHOME	KL	STADIUM  BUKIT JALIL	AKEMI	EXHIBITION	DREAMART	False	False			False	False		False				FALSE			28000		ddj55ljesjnnt1h8g6bfc6sasg@google.com
2026-05-MYHOME-KL-THESTARLINGMALL-AKEMI	CONFIRMED		2026	MAY	29/05/2026	01/06/2026	4	MYHOME	KL	STADIUM  BUKIT JALIL	ZANOTTI	EXHIBITION	DREAMART	False	False			False	False		False				FALSE			28000		ddj55ljesjnnt1h8g6bfc6sasg@google.com
2026-05-MYHOME-KL-THESTARLINGMALL-AKEMI	CONFIRMED		2026	MAY	29/05/2026	01/06/2026	4	MYHOME	KL	STADIUM  BUKIT JALIL	ERGOTEX	EXHIBITION	DREAMART	False	False			False	False		False				FALSE			28000		ddj55ljesjnnt1h8g6bfc6sasg@google.com
2026-05-MLE-MELAKA-MITC-AKEMI	CONFIRMED		2026	MAY	29/05/2026	01/06/2026	4	MLE	MELAKA	MITC	AKEMI	EXHIBITION	DREAMART	False	False			False	False		False				FALSE			24000		lvvgpjg4kapituqk93b4hlp3mc@google.com
2026-05-MLE-MELAKA-MITC-AKEMI	CONFIRMED		2026	MAY	29/05/2026	01/06/2026	4	MLE	MELAKA	MITC	ZANOTTI	EXHIBITION	DREAMART	False	False			False	False		False				FALSE			24000		lvvgpjg4kapituqk93b4hlp3mc@google.com
2026-05-MLE-PENANG-PWCC-AKEMI	CONFIRMED		2026	MAY	30/05/2026	01/06/2026	3	MLE	PENANG	PWCC	AKEMI	EXHIBITION	DREAMART	False	False			False	False		False				FALSE			24000		8aa2hsshmgcbahr1v72g0tp9j4@google.com
2026-05-MLE-PENANG-PWCC-ZANOTTI	CONFIRMED		2026	MAY	30/05/2026	01/06/2026	3	MLE	PENANG	PWCC	ZANOTTI	EXHIBITION	DREAMART	False	False			False	False		False				FALSE			24000		8aa2hsshmgcbahr1v72g0tp9j4@google.com
2026-05-MLE-PENANG-PWCC-ZANOTTI	CONFIRMED		2026	MAY	30/05/2026	01/06/2026	3	MLE	PENANG	PWCC	ERGOTEX	EXHIBITION	DREAMART	False	False			False	False		False				FALSE			24000		8aa2hsshmgcbahr1v72g0tp9j4@google.com
2025-11-MALL MGT-KL-THESTARLINGMALL-AKEMI	CONFIRMED	COMPLETED	2025	NOVEMBER	04/11/2025	09/11/2025	6	MALL MGT	KL	THE STARLING MALL	AKEMI	SOLO	DREAMART	True	True	P4, LEVEL G	22	True	True	DONE	True	DONE	NO NEED	DONE	DONE	DONE			https://chlorinated-glue-adf.notion.site/KL-Akemi-SOLO-THE-STARLING-MALL-2377ce8e74e180e7ac6bd3b3d75c9859?source=copy_link	
2025-11-KAI HAO (KL CHEN)-PENANG-AEONBUKITMERTAJAM-AKEMI	CONFIRMED	COMPLETED	2025	NOVEMBER	05/11/2025	16/11/2025	12	KAI HAO (KL CHEN)	PENANG	AEON BUKIT MERTAJAM	AKEMI	SOLO	DREAMART	True	True	LEVEL F, BESIDE KAISON	30	True	True	DONE	True	NO NEED	NO NEED	DONE	DONE				https://chlorinated-glue-adf.notion.site/PG-Akemi-SOLO-AEON-BUKIT-MERTAJAM-2a07ce8e74e18063956ad4da0f88fd2f?source=copy_link	l1oaf8m488rg4f2uoglomhsjok@google.com
2025-11-HOMEDEC-KL-KLCCCONVENTIONCENTRE-AKEMI	CONFIRMED	COMPLETED	2025	NOVEMBER	06/11/2025	09/11/2025	4	HOMEDEC	KL	KLCC CONVENTION CENTRE	AKEMI	EXHIBITION	DREAMART	True	True	LOUNGE 4, 4H453, 4P642	4	True	True	DONE	True	NO NEED	NO NEED	DONE	NO NEED				https://chlorinated-glue-adf.notion.site/KL-Akemi-HOMEDEC-KLCC-CONVENTION-CENTER-2867ce8e74e18075973cd5c4deb80e3e?source=copy_link	
2025-11-HOMEDEC-KL-KLCCCONVENTIONCENTRE-ZANOTTI	CONFIRMED	COMPLETED	2025	NOVEMBER	06/11/2025	09/11/2025	4	HOMEDEC	KL	KLCC CONVENTION CENTRE	ZANOTTI	EXHIBITION	DREAMART	True	True	5U587	5	True	True	DONE	True	NO NEED	NO NEED	DONE	DONE				https://chlorinated-glue-adf.notion.site/KL-Zanotti-HOMEDEC-KLCC-CONVENTION-CENTER-25d7ce8e74e180aaaebaca53e89337a1?source=copy_link	1d6nehm9tg84in7p03otlqj0q0@google.com
2025-11-KAI HAO (KL CHEN)-KL-AEONBIGWANGSAMAJU-AKEMI	CONFIRMED	COMPLETED	2025	NOVEMBER	07/11/2025	16/11/2025	10	KAI HAO (KL CHEN)	KL	AEON BIG WANGSA MAJU	AKEMI	SOLO	DREAMART	True	True	T1	2100	True	True	DONE	True	DONE	NO NEED	DONE	DONE				https://chlorinated-glue-adf.notion.site/KL-Akemi-SOLO-AEON-BIG-WANGSA-MAJU-2867ce8e74e180a59047cfd5befd6d41?source=copy_link	1m1euc4ls2u0rbg2i7pdcgvi5c@google.com
2025-11-MALL MGT-MELAKA-MAHKOTAPARADE-AKEMI	CONFIRMED	COMPLETED	2025	NOVEMBER	07/11/2025	16/11/2025	10	MALL MGT	MELAKA	MAHKOTA PARADE	AKEMI	SOLO	DREAMART	True	True	KG10A1 BESIDE BASKIN ROBBIN	1248	True	True	DONE	True	DONE	NO NEED	DONE	DONE				https://chlorinated-glue-adf.notion.site/MELAKA-Akemi-SOLO-MAHKOTA-PARADE-2867ce8e74e1800c9ad7e126543c4212?source=copy_link	
2025-11-MODERN HOME-JOHOR-MVECSOUTHKEY-AKEMI	CONFIRMED	COMPLETED	2025	NOVEMBER	07/11/2025	09/11/2025	3	MODERN HOME	JOHOR	MVEC SOUTHKEY	AKEMI	EXHIBITION	DREAMART	True	True	ATRIUM HALL 1,2	221	True	True	DONE	True	NO NEED	NO NEED	DONE	NO NEED				https://chlorinated-glue-adf.notion.site/JOHOR-Akemi-MODERN-HOME-MID-VALLEY-2777ce8e74e180519cb0c7d9498492f8?source=copy_link	lm62cal6cef1i1ctmi6dejar5k@google.com
2025-11-KAI HAO (KL CHEN)-KL-AEONMETROPRIMAKEPONG-AKEMI	CONFIRMED	COMPLETED	2025	NOVEMBER	11/11/2025	23/11/2025	13	KAI HAO (KL CHEN)	KL	AEON METRO PRIMA KEPONG	AKEMI	SOLO	DREAMART	True	True	CENTRE COURT 	2340	True	True	DONE	True	DONE	NO NEED	DONE	DONE				https://chlorinated-glue-adf.notion.site/KL-Akemi-SOLO-AEON-METRO-PRIMA-29c7ce8e74e1803197b8e8a6032a7cb8?source=copy_link	sdqr7lv2tta4v4cm8mbt25bn3g@google.com
2025-11-MLE-KL-MIDVALLEY-AKEMI	CONFIRMED	COMPLETED	2025	NOVEMBER	14/11/2025	16/11/2025	3	MLE	KL	MID VALLEY	AKEMI	EXHIBITION	DREAMART	True	True	F2 FUNCTION ROOM B		True	True	DONE	True	NO NEED	NO NEED	DONE	NO NEED				https://chlorinated-glue-adf.notion.site/KL-Akemi-MLE-MID-VALLEY-2867ce8e74e180b4bca6ce1920c82126?source=copy_link	
2025-11-KAI HAO (KL CHEN)-JOHOR-KSLCITYMALL-AKEMI	CONFIRMED	COMPLETED	2025	NOVEMBER	14/11/2025	16/11/2025	3	KAI HAO (KL CHEN)	JOHOR	KSL CITY MALL	AKEMI	SOLO	DREAMART	True	True	B4	1000	True	True	DONE	True	NO NEED	NO NEED	DONE	DONE				https://chlorinated-glue-adf.notion.site/JOHOR-Akemi-SOLO-KSL-MALL-29c7ce8e74e18091b3f8e51870313dee?source=copy_link	vvnobaghd8ps0j4667dpqcppng@google.com
2025-11-KAI HAO (KL CHEN)-KL-AEONRAWANG-AKEMI	CONFIRMED	COMPLETED	2025	NOVEMBER	18/11/2025	23/11/2025	6	KAI HAO (KL CHEN)	KL	AEON RAWANG	AKEMI	SOLO	DREAMART	True	True	CENTRE COURT 	1000	True	True	DONE	True	NO NEED	NO NEED	DONE	DONE				https://chlorinated-glue-adf.notion.site/KL-Akemi-SOLO-AEON-RAWANG-2a77ce8e74e180d9b4b7d77a27d0037d?source=copy_link	oe7p4hjfrvn11tjn5uhll06omo@google.com
2025-11-KAI HAO (KL CHEN)-JOHOR-SUNWAYKLUANGMALL-AKEMI	CONFIRMED	COMPLETED	2025	NOVEMBER	21/11/2025	30/11/2025	10	KAI HAO (KL CHEN)	JOHOR	SUNWAY KLUANG MALL	AKEMI	SOLO	DREAMART	True	True	ATRIUM	1000	True	True	DONE	True	NO NEED	NO NEED	DONE	DONE				https://chlorinated-glue-adf.notion.site/JOHOR-Akemi-SOLO-SUNWAY-KLUANG-MALL-2a77ce8e74e1803b8da3dd81a8694bd5?source=copy_link	6ukvsm013qqkcble3n98qu1at0@google.com
2025-11-MALL MGT-KL-KSLESPLANADEMALL-AKEMI	CONFIRMED	COMPLETED	2025	NOVEMBER	21/11/2025	30/11/2025	10	MALL MGT	KL	KSL ESPLANADE MALL	AKEMI	SOLO	DREAMART	True	True	GP2	2500	True	True	DONE	True	NO NEED	NO NEED	DONE	DONE	DONE			https://chlorinated-glue-adf.notion.site/KL-Akemi-SOLO-KSL-ESPLANADE-MALL-2a37ce8e74e180979c5ccc57b9af52a2?source=copy_link	
2025-11-BIGHOME-KL-SPCC-AKEMI	CONFIRMED	COMPLETED	2025	NOVEMBER	21/11/2025	23/11/2025	3	BIGHOME	KL	SPCC	AKEMI	EXHIBITION	DREAMART	True	True	Y17 & Y10a		True	True	DONE	True	NO NEED	NO NEED	DONE	NO NEED				https://chlorinated-glue-adf.notion.site/KL-Akemi-BIGHOME-SPCC-SUNWAY-PYRAMID-29d7ce8e74e18007a5b3fa04c3db8364?source=copy_link	l6lc3l7u7kpib6htu88t70f6fg@google.com
2025-11-BIGHOME-KL-SPCC-ZANOTTI	CONFIRMED	COMPLETED	2025	NOVEMBER	21/11/2025	23/11/2025	3	BIGHOME	KL	SPCC	ZANOTTI	EXHIBITION	DREAMART	True	True	Z02		True	True	DONE	True	NO NEED	NO NEED	DONE	DONE				https://chlorinated-glue-adf.notion.site/KL-Zanotti-BIGHOME-SPCC-SUNWAY-PYRAMID-2a17ce8e74e1804291f1f430684cb9ca?source=copy_link	fqd44ks2c44gir2tmrp746c3ak@google.com
2025-11-MALL MGT-JOHOR-PARADIGMMALL-AKEMI	CONFIRMED	COMPLETED	2025	NOVEMBER	25/11/2025	30/11/2025	6	MALL MGT	JOHOR	PARADIGM MALL	AKEMI	SOLO	DREAMART	True	True	GROUND FLOOR	55	True	True	DONE	True	DONE	NO NEED	DONE	DONE				https://chlorinated-glue-adf.notion.site/JOHOR-Akemi-SOLO-PARADIGM-MALL-2867ce8e74e180969a05f895a6d9bc28?source=copy_link	rf16sll1m2stf19oolioiiocrc@google.com
2025-11-MLE-KL-STADIUMBUKITJALIL-AKEMI	CONFIRMED	COMPLETED	2025	NOVEMBER	27/11/2025	30/11/2025	4	MLE	KL	STADIUM BUKIT JALIL	AKEMI	EXHIBITION	DREAMART	True	True	A33		True	True	DONE	True	NO NEED	NO NEED	DONE	NO NEED				https://chlorinated-glue-adf.notion.site/KL-Akemi-MLE-STADIUM-BUKIT-JALIL-29d7ce8e74e18013967bf41decf4728a?source=copy_link	6k7jpcb2129i62iiqdutus187c@google.com
2025-11-MLE-KL-STADIUMBUKITJALIL-ZANOTTI	CONFIRMED	COMPLETED	2025	NOVEMBER	27/11/2025	30/11/2025	4	MLE	KL	STADIUM BUKIT JALIL	ZANOTTI	EXHIBITION	DREAMART	True	True	A11, A12		True	True	DONE	True	DONE	NO NEED	DONE	DONE				https://chlorinated-glue-adf.notion.site/KL-Zanotti-MLE-STADIUM-BUKIT-JALIL-2b27ce8e74e18090934bc49a8d4d925c?source=copy_link	hlp2efq1efcn3ke5fv6cs51q20@google.com
2025-11-HOME CARNIVAL-PENANG-AUTOCITY-AKEMI	CONFIRMED	COMPLETED	2025	NOVEMBER	28/11/2025	30/11/2025	3	HOME CARNIVAL	PENANG	AUTO CITY	AKEMI	EXHIBITION	DREAMART	True	True	01-06	54	True	True	DONE	True	NO NEED	NO NEED	NO NEED	NO NEED	DONE			https://chlorinated-glue-adf.notion.site/PG-Akemi-HOME-CARNIVAL-AUTO-CITY-2a37ce8e74e180cc8838c8de4341ca0f?source=copy_link	sl6p40b6og2vq7op69timkndas@google.com
2026-11-MLE-KL-SCCCSHAHALAM-AKEMI	CONFIRMED		2026	NOVEMBER	06/11/2026	08/11/2026	3	MLE	KL	SCCC SHAH ALAM	AKEMI	EXHIBITION	DREAMART	False	False			False	False		False				FALSE					8p6tu51gk7cpau5mvjrke1vmgg@google.com
2026-11-MLE-KL-SCCCSHAHALAM-ZANOTTI	CONFIRMED		2026	NOVEMBER	06/11/2026	08/11/2026	3	MLE	KL	SCCC SHAH ALAM	ZANOTTI	EXHIBITION	DREAMART	False	False			False	False		False				FALSE					lq7g1dnf7i2mrmfp6ca0p0giag@google.com
2026-11-MEGAHOME-PENANG-PISASPICEARENACONVENTIONCENTRE-AKEMI	CONFIRMED		2026	NOVEMBER	06/11/2026	08/11/2026	3	MEGAHOME	PENANG	PISA SPICE ARENA CONVENTION CENTRE	AKEMI	EXHIBITION	DREAMART	False	False			False	False		False				FALSE					rsriu74mk663a6r8ojsd4pnrqg@google.com
2026-11-MEGAHOME-PENANG-PISASPICEARENACONVENTIONCENTRE-ZANOTTI	CONFIRMED		2026	NOVEMBER	06/11/2026	08/11/2026	3	MEGAHOME	PENANG	PISA SPICE ARENA CONVENTION CENTRE	ZANOTTI	EXHIBITION	DREAMART	False	False			False	False		False				FALSE					nev4d1040dfm54vqn3d086vaco@google.com
2026-11-MEGAHOME-PENANG-PISASPICEARENACONVENTIONCENTRE-DUNLOPILLO	CONFIRMED		2026	NOVEMBER	06/11/2026	08/11/2026	3	MEGAHOME	PENANG	PISA SPICE ARENA CONVENTION CENTRE	DUNLOPILLO	EXHIBITION	DREAMART	False	False			False	False		False				FALSE					jua6fskaasos0640hnc75fecno@google.com
	CONFIRMED		2026	NOVEMBER	06/11/2026	09/11/2026	4	MEGAHOME	MELAKA	MITC	AKEMI	EXHIBITION	DREAMART	False	False			False	False		False									mfq09vqbcs21d4fn01hn00kt8k@google.com
	CONFIRMED		2026	NOVEMBER	06/11/2026	09/11/2026	4	MEGAHOME	MELAKA	MITC	ZANOTTI	EXHIBITION	DREAMART	False	False			False	False		False									foamng8nk4lq90q7jo6ctbjsro@google.com
